id,name ,sex,religion,survival,type of death,place of death,type
af,Anne Frank,2,1,1,2,1,1
of,Otto Frank,1,1,2,4,2,1
ef,Edith Frank,2,1,1,3,3,1
mf,Margot Frank,2,1,1,2,4,1
hvp,Hermann van Pels,1,1,1,1,5,1
avp,Auguste van Pels,2,1,1,2,6,1
pvp,Peter van Pels,1,1,1,2,7,1
fp,Fritz Peffer,1,1,1,2,8,1
rhs,Oma Rosa Holländer-Stern,2,1,,3,9,1
hpg,Hannah Pick-Goslar,2,1,2,NA,NA,1
ki,Kitty,NA,NA,NA,NA,NA,2
mifa,Michael Frank,1,1,1,3,8,1
afs,Alice Frank-Stern,2,1,4,3,8,1
hf,Herbert Frank,1,1,4,3,8,1
rf,Robert Frank,1,1,4,3,8,1
hef,Helene Elias-Frank,2,1,4,3,8,1
ee,Erich Elias,1,1,4,3,8,1
se,Stephan Elias,1,1,4,3,8,1
be,Bernhard Elias,1,1,4,3,8,1
ah,Abraham Holländer,1,1,3,3,8,1
jh,Julius Holländer,1,1,4,3,8,1
wh,Walter Holländer,1,1,4,3,8,1
bh,Bettina Holländer,2,1,2,NA,8,1
ks,Kati Stilgenbauer,2,NA,NA,NA,NA,1
fs,Frau Schneider,2,2,4,3,8,1
hs,Hilde Stab,2,2,NA,3,8,1
ms,Marianne Stab,2,2,NA,3,8,1
sl,Sanne Ledermann,2,1,1,1,3,1
iw,Ilse Wagner,2,1,1,1,8,1
jvm,Jacqueline van Maarsen,2,1,2,NA,NA,1
bb,Betty Bloemendaal,2,1,1,1,3,1
ld,Lenij Duijzend,2,1,2,NA,NA,1
nb,Nannie Blitz,2,1,2,NA,NA,1
hm,Henny Mets,2,1,1,1,8,1
dz,Danka Zajde,2,1,2,NA,NA,1
nvps,Nannie v. Praag-Sigaar,2,1,1,1,3,1
edj,Eefje de Jong,2,1,1,1,8,1
mc,Maurice Coster,1,1,2,NA,NA,1
ss,Sally Springer,1,1,1,1,8,1
eb,Emiel Bonewit,1,1,1,1,8,1
rc,Rob Cohen,1,1,2,NA,NA,1
mvdv,Max van de Velde,1,1,NA,NA,NA,1
hk,Herman Koopman,1,1,2,NA,NA,1
jdb,Jopie de Beer,1,1,1,1,3,1
lb,Leo Blom,1,1,2,NA,NA,1
adm,Albert de Mesquita,1,1,2,NA,NA,1
ls,Leo Slager,1,1,1,1,8,1
rs,Ru Stoppelmon,1,1,1,1,3,1
gn,Gertrud Naumann,2,2,5,3,8,1
pp,Pim Pimentel,1,1,2,NA,NA,1
jk,Jaques Kocernoot,1,1,1,1,3,1
has,Harry Schaap,1,1,1,1,3,1
wj,Werner Joseph,1,1,1,1,8,1
sasa,Sam Salomon,1,1,1,1,3,1
ar,Appie Riem,1,1,1,1,8,1
ku,Frau Kuperus,2,1,NA,NA,NA,1
ke,Herr Keesing,1,1,NA,NA,NA,1
hes,Hello Silberberg,1,1,2,3,8,1
ul,Ursula Löwenbach,2,1,2,NA,NA,1
ps,Peter Schiff,1,1,1,NA,3,1
vk,Victor Kugler,1,2,5,3,8,1
jok,Johannes Kleiman,1,2,5,3,9,1
jv,Johan Voskujil,1,2,4,3,9,1
bv,Bep Voskujil,2,2,5,3,9,1
mg,Miep Gies,2,2,5,3,8,1
jg,Jan Gies,1,2,5,3,9,1
wvm,Willem van Maaren,1,2,5,3,9,1
