id,name,sex,religion,survival,type of death,place of death,type
af,Anne Frank,2,1,4,2,1,1
of,Otto Frank,1,1,5,3,2,1
ef,Edith Frank,2,1,4,2,3,1
mf,Margot Frank,2,1,4,2,1,1
hvp,Hermann van Pels,1,1,4,1,3,1
avp,Auguste van Pels,2,1,4,2,5,1
pvp,Peter van Pels,1,1,4,2,6,1
fp,Fritz Pfeffer,1,1,4,2,7,1
vk,Victor Kugler,1,NA,5,3,8 (Toronto),1
jk,Johannes Kleimann,1,NA,5,3,9,1
jv,Johan Voskuijl,1,2,4,3,9,1
bv,Bep Voskuijl,2,2,5,3,9,1
mg,Miep Gies,2,2,5,3,8 (Hoorn),1
jg,Jan Gies,1,NA,5,3,9,1
k,Kitty,3,NA,NA,NA,NA,2
